mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
18.0,8,307.0,130,3504,12.0,70,1,"chevrolet chevelle malibu"
15.0,8,350.0,165,3693,11.5,70,1,"buick skylark 320"
18.0,8,318.0,150,3436,11.0,70,1,"plymouth satellite"
16.0,8,304.0,150,3433,12.0,70,1,"amc rebel sst"
17.0,8,302.0,140,3449,10.5,70,1,"ford torino"
15.0,8,429.0,198,4341,10.0,70,1,"ford galaxie 500"
14.0,8,454.0,220,4354,9.0,70,1,"chevrolet impala"
14.0,8,440.0,215,4312,8.5,70,1,"plymouth fury iii"
14.0,8,455.0,225,4425,10.0,70,1,"pontiac catalina"
15.0,8,390.0,190,3850,8.5,70,1,"amc ambassador dpl"
27.0,4,97.0,88,2130,14.5,70,3,"datsun pl510"
28.0,4,97.0,90,2125,14.0,70,2,"saab 99e"
25.0,4,104.0,95,2375,17.5,70,2,"bmw 2002"
26.0,4,121.0,113,2234,12.5,70,2,"toyota corona mark ii"
21.0,6,199.0,90,2648,15.0,70,1,"plymouth duster"
22.0,6,198.0,95,2833,15.5,70,1,"amc hornet"
18.0,6,199.0,97,2774,15.5,70,1,"ford maverick"
27.0,4,97.0,88,2130,14.5,71,3,"datsun pl510"
28.0,4,140.0,90,2264,15.5,71,1,"chevrolet vega 2300"
25.0,4,113.0,95,2228,14.0,71,3,"toyota corona"
